avanti.name	target.conc	smiles.salt	formula.salt	molweigth.salt	smiles.neutral	formula.neutral	exactmass.neutral
16:1 SM (d18:1/16:1)-d9	75	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCC\C=C/CCCCCC	C39H68D9N2O6P	710.082	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCC\C=C/CCCCCC	C39H68D9N2O6P	709.6084159
18:1 SM (d18:1/18:1)-d9	50	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCC\C=C/CCCCCCCC	C41H72D9N2O6P	738.136	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCC\C=C/CCCCCCCC	C41H72D9N2O6P	737.639716
20:1 SM (d18:1/20:1)-d9	25	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCCCC\C=C/CCCCCCCC	C43H76D9N2O6P	766.19	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCCCC\C=C/CCCCCCCC	C43H76D9N2O6P	765.6710162
22:1 SM (d18:1/22:1)-d9	50	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	C45H80D9N2O6P	794.244	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	C45H80D9N2O6P	793.7023163
24:1 SM (d18:1/24:1)-d9	75	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC	C47H84D9N2O6P	822.298	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC	C47H84D9N2O6P	821.7336164
17:0-14:1 PC-d5	50	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C39H71D5NO8P	723.04	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C39H71D5NO8P	722.5622391
17:0-16:1 PC-d5	100	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C41H75D5NO8P	751.094	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C41H75D5NO8P	750.5935393
17:0-18:1 PC-d5	150	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C43H79D5NO8P	779.148	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C43H79D5NO8P	778.6248394
17:0-20:3 PC-d5	100	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C45H79D5NO8P	803.17	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C45H79D5NO8P	802.6248394
17:0-22:4 PC-d5	50	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C47H81D5NO8P	829.208	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP([O-])(=O)OCC[N+](C)(C)C	C47H81D5NO8P	828.6404895
17:0-14:1 PE-d5	25	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	C36H65D5NO8P	680.959	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP(O)(=O)OCCN	C36H65D5NO8P	680.5152889
17:0-16:1 PE-d5	50	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	C38H69D5NO8P	709.013	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP(O)(=O)OCCN	C38H69D5NO8P	708.5465891
17:0-18:1 PE-d5	75	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	C40H73D5NO8P	737.067	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP(O)(=O)OCCN	C40H73D5NO8P	736.5778892
17:0-20:3 PE-d5	50	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	C42H73D5NO8P	761.089	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP(O)(=O)OCCN	C42H73D5NO8P	760.5778892
17:0-22:4 PE-d5	25	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	C44H75D5NO8P	787.127	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP(O)(=O)OCCN	C44H75D5NO8P	786.5935393
17:0-14:1 PG-d5	25	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	C37H65D5NaO10P	733.951	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	C37H66D5O10P	711.5098692
17:0-16:1 PG-d5	50	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	C39H69D5NaO10P	762.005	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	C39H70D5O10P	739.5411693
17:0-18:1 PG-d5	75	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	C41H73D5NaO10P	790.059	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	C41H74D5O10P	767.5724695
17:0-20:3 PG-d5	50	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	C43H73D5NaO10P	814.081	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP(O)(=O)OCC(O)CO	C43H74D5O10P	791.5724695
17:0-22:4 PG-d5	25	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	C45H75D5NaO10P	840.119	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	C45H76D5O10P	817.5881195
17:0-14:1 PS-d5	25	[Na+].[H][C@]([NH3+])(COP([O-])(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C([O-])=O	C37H64D5NNaO10P	746.95	[H][C@](N)(COP(O)(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C(O)=O	C37H65D5NO10P	724.5051182
17:0-16:1 PS-d5	50	[Na+].[H][C@]([NH3+])(COP([O-])(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C([O-])=O	C39H68D5NNaO10P	775.004	[H][C@](N)(COP(O)(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C(O)=O	C39H69D5NO10P	752.5364183
17:0-18:1 PS-d5	75	[Na+].[H][C@]([NH3+])(COP([O-])(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C([O-])=O	C41H72D5NNaO10P	803.058	[H][C@](N)(COP(O)(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C(O)=O	C41H73D5NO10P	780.5677184
17:0-20:3 PS-d5	50	[Na+].[H][C@]([NH3+])(COP([O-])(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C([O-])=O	C43H72D5NNaO10P	827.08	[H][C@](N)(COP(O)(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C(O)=O	C43H73D5NO10P	804.5677184
17:0-22:4 PS-d5	25	[Na+].[H][C@]([NH3+])(COP([O-])(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C([O-])=O	C45H74D5NNaO10P	853.118	[H][C@](N)(COP(O)(=O)OC([2H])([2H])[C@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC)C(O)=O	C45H75D5NO10P	830.5833685
17:0-14:1 DG-d5	25	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C34H59D5O5	557.912	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C34H59D5O5	557.5067589
17:0-16:1 DG-d5	50	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C36H63D5O5	585.966	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C36H63D5O5	585.538059
17:0-18:1 DG-d5	75	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C38H67D5O5	614.02	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C38H67D5O5	613.5693591
17:0-20:3 DG-d5	50	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C40H67D5O5	638.042	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C40H67D5O5	637.5693591
17:0-22:4 DG-d5	25	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C42H69D5O5	664.08	[2H]C([2H])(O)[C@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC	C42H69D5O5	663.5850092
17:0-14:1 PI-d5	25	[NH4+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O	C40H73D5NO13P	817.062	N.[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O	C40H73D5NO13P	816.5524623
17:0-16:1 PI-d5	50	[NH4+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O	C42H77D5NO13P	845.116	N.[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O	C42H77D5NO13P	844.5837624
17:0-18:1 PI-d5	75	[NH4+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O	C44H81D5NO13P	873.17	N.[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O	C44H81D5NO13P	872.6150626
